REEF_NAME,GBR_SECTOR,RV,TRIP_ID,TRIP_METADATA_LINK,DATE,SAMPLE_DATE_SEAWATER_SEDIMENTS,LATITUDE,LONGITUDE,WATER_COLLECTION_(VOL),COLLECTION_METHOD,UNDERWAY_DATA_TIME,SEAWATER_TEMPERATURE_2.5m_RV,SALINITY_2.5m_RV ,TURBIDITY_2.5m_RV ,FLUORESCENCE_2.5m_RV,OPEN_CLOSED_TO_FISHING,SAMPLE_COLLECTION_START,MEAN_CHLOROPHYLL-A_�g_L,MEAN_PHAEOPHYTIN-A_�g_L,MEAN_PN_�M,MEAN_POC_�M,MEAN_PP_�M,MEAN_DOC_�m,MEAN_PO4_�M,MEAN_NH4_�M,MEAN_NO2_�M,MEAN_NO3_�M,MEAN_Si_�M,MEAN_TDN_�M,MEAN_TDP_�M,MEAN_TSS_mg_L,illumina_seawater_zip
ST CRISPIN REEF,Central,Solander,7297,https://apps.aims.gov.au/metadata/view/9E2FE400-5BBB-0B7C-E054-0010E056919A,13/12/2019,13/12/2019,-16.07261,145.84686,40L,Diving,15:03:09,27.9065,35.1555,1.913327,0.076,O,15:00:00,0.173693333,0.177516667,0.83619,5.425553333,0.03439,86.11111333,0.053333333,0.233333333,0.043333333,0.49,1.48,6.136666667,0.23,0.473333333,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/St_Crispin.seawater.tar.gz
FAIRFAX REEF,South,Solander,7299,https://apps.aims.gov.au/metadata/view/9B305067-A8E2-6099-E054-0010E056919A,4/01/2020,4/01/2020,-23.86598,152.35922,40L,Diving,15:12:41,26.4287,35.4032,1.785122,0.0393,C,15:10:00,0.0849,0.105233333,0.907616667,6.842223333,0.030373333,97.5,0.056666667,0.473333333,0.046666667,0.35,1.046666667,6.273333333,0.266666667,0.226666667,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Fairfax.seawater.tar.gz
HOSKYN REEF,South,Solander,7299,https://apps.aims.gov.au/metadata/view/9B305067-A8E2-6099-E054-0010E056919A,5/01/2020,5/01/2020,-23.80801,152.2836,40L,Diving,15:59:32,26.518,35.5685,1.797332,0.1004,C,16:02:00,0.107323333,0.12837,0.788573333,6.80889,0.033876667,89.16667,0.056666667,0.54,0.046666667,0.336666667,1.373333333,5.79,0.213333333,0.103333333,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Hoskyn.seawater.tar.gz
BOULT REEF,South,Solander,7299,https://apps.aims.gov.au/metadata/view/9B305067-A8E2-6099-E054-0010E056919A,7/01/2020,7/01/2020,-23.76276,152.25743,40L,Diving,16:19:43,26.5228,35.5661,1.827857,0.137,O,16:20:00,0.06069,0.142363333,0.798096667,4.431113333,0.020876667,85,0.06,0.37,0.06,0.486666667,1.036666667,7.136666667,0.25,0.166666667,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Boult.seawater.tar.gz
MASTHEAD REEF,South,Solander,7299,https://apps.aims.gov.au/metadata/view/9B305067-A8E2-6099-E054-0010E056919A,8/01/2020,8/01/2020,-23.53219,151.72284,40L,Diving,16:46:20,27.0923,35.8352,1.821752,0.1126,O,16:50:00,0.240653333,0.277723333,1.379046667,9.60889,0.073836667,87.5,0.03,0.3,0.053333333,0.49,1.056666667,6.833333333,0.19,0.123333333,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Masthead.seawater.tar.gz
ERSKINE REEF,South,Solander,7299,https://apps.aims.gov.au/metadata/view/9B305067-A8E2-6099-E054-0010E056919A,9/01/2020,9/01/2020,-23.504,151.77,40L,Diving,16:42:48,26.8823,35.7111,1.772912,0.1004,C,16:48:00,0.309713333,0.381943333,1.488573333,9.93667,0.073103333,84.72222333,0.026666667,0.586666667,0.03,0.206666667,1.686666667,7.493333333,0.193333333,0.076666667,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Erskine.seawater.tar.gz
BROOMFIELD REEF,South,Solander,7299,https://apps.aims.gov.au/metadata/view/9B305067-A8E2-6099-E054-0010E056919A,10/01/2020,10/01/2020,-23.2657,151.9245,40L,Diving,15:22:24,26.604,35.6708,1.772912,0.1004,O,15:20:00,0.22242,0.293093333,1.245716667,7.253333333,0.06105,72.77777667,0.03,0.47,0.04,0.226666667,1.98,6.356666667,0.203333333,0.323333333,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Broomfield.seawater.tar.gz
21-550,South,Solander,7299,https://apps.aims.gov.au/metadata/view/9B305067-A8E2-6099-E054-0010E056919A,13/01/2020,13/01/2020,-21.96005,152.31361,40L,Diving,0:32:43,27.3602,35.2443,1.797332,0.1004,O,15:20:00,0.06278,0.177936667,0.912383333,6.14778,0.02596,83.05555667,0.06,0.416666667,0.04,0.376666667,1.423333333,6.64,0.27,0.163333333,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/21-550.seawater.tar.gz
22-084,South,Solander,7299,https://apps.aims.gov.au/metadata/view/9B305067-A8E2-6099-E054-0010E056919A,14/01/2020,14/01/2020,-21.99809,152.46706,40L,Diving,16:19:29,27.2655,35.3178,1.772912,0.1126,C,16:24:00,0.18565,0.144036667,1.03143,7.158886667,0.038773333,82.5,0.026666667,0.403333333,0.016666667,0.096666667,1.24,5.82,0.22,0.14,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/22-084.seawater.tar.gz
CHINAMAN REEF,South,Solander,7299,https://apps.aims.gov.au/metadata/view/9B305067-A8E2-6099-E054-0010E056919A,16/01/2020,16/01/2020,-21.99904,152.65945,40L,Diving,16:21:38,27.2244,35.3801,1.730177,0.1004,O,16:24:00,0.16622,0.207233333,1.117143333,6.753333333,0.04498,70.55555667,0.043333333,1.05,0.046666667,0.223333333,1.016666667,7.22,0.253333333,0.05,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Chinaman.seawater.tar.gz
